,Author,Title,Poem,Form
0,Thomas Gray,Elegy Written In A Country Churchyard,"The Curfew tolls the knell of parting day,
The lowing herd wind slowly o'er the lea,
The plowman homeward plods his weary way,
And leaves the world to darkness and to me.

Now fades the glimmering landscape on the sight,
And all the air a solemn stillness holds,
Save where the beetle wheels his droning flight,
And drowsy tinklings lull the distant folds;

Save that from yonder ivy-mantled tow'r
The moping owl does to the moon complain
Of such as, wand'ring near her secret bow'r,
Molest her ancient solitary reign.

Beneath those rugged elms, that yew-tree's shade,
Where heaves the turf in many a mould'ring heap,
Each in his narrow cell for ever laid,
The rude Forefathers of the hamlet sleep.

The breezy call of incense-breathing Morn,
The swallow twitt'ring from the straw-built shed,
The cock's shrill clarion, or the echoing horn,
No more shall rouse them from their lowly bed.

For them no more the blazing hearth shall burn,
Or busy housewife ply her evening care:
No children run to lisp their sire's return,
Or climb his knees the envied kiss to share.

Oft did the harvest to their sickle yield,
Their furrow oft the stubborn glebe has broke:
How jocund did they drive their team afield!
How bow'd the woods beneath their sturdy stroke!

Let not Ambition mock their useful toil,
Their homely joys, and destiny obscure;
Nor Grandeur hear with a disdainful smile
The short and simple annals of the poor.

The boast of heraldry, the pomp of pow'r,
And all that beauty, all that wealth e'er gave,
Awaits alike th' inevitable hour:
The paths of glory lead but to the grave.

Nor you, ye Proud, impute to These the fault,
If Memory o'er their Tomb no Trophies raise,
Where through the long-drawn aisle and fretted vault
The pealing anthem swells the note of praise.

Can storied urn or animated bust
Back to its mansion call the fleeting breath?
Can Honour's voice provoke the silent dust,
Or Flatt'ry soothe the dull cold ear of death?

Perhaps in this neglected spot is laid
Some heart once pregnant with celestial fire;
Hands, that the rod of empire might have sway'd,
Or waked to ecstasy the living lyre.

But Knowledge to their eyes her ample page
Rich with the spoils of time did ne'er unroll;
Chill Penury repress'd their noble rage,
And froze the genial current of the soul.

Full many a gem of purest ray serene
The dark unfathom'd caves of ocean bear:
Full many a flower is born to blush unseen,
And waste its sweetness on the desert air.

Some village Hampden that with dauntless breast
The little tyrant of his fields withstood,
Some mute inglorious Milton here may rest,
Some Cromwell guiltless of his country's blood.

Th' applause of list'ning senates to command,
The threats of pain and ruin to despise,
To scatter plenty o'er a smiling land,
And read their history in a nation's eyes,

Their lot forbade: nor circumscribed alone
Their glowing virtues, but their crimes confined;
Forbade to wade through slaughter to a throne,
And shut the gates of mercy on mankind,

The struggling pangs of conscious truth to hide,
To quench the blushes of ingenuous shame,
Or heap the shrine of Luxury and Pride
With incense kindled at the Muse's flame.

Far from the madding crowd's ignoble strife,
Their sober wishes never learn'd to stray;
Along the cool sequester'd vale of life
They kept the noiseless tenor of their way.

Yet ev'n these bones from insult to protect
Some frail memorial still erected nigh,
With uncouth rhymes and shapeless sculpture deck'd,
Implores the passing tribute of a sigh.

Their name, their years, spelt by th' unletter'd muse,
The place of fame and elegy supply:
And many a holy text around she strews,
That teach the rustic moralist to die.

For who, to dumb Forgetfulness a prey,
This pleasing anxious being e'er resign'd,
Left the warm precincts of the cheerful day,
Nor cast one longing ling'ring look behind?

On some fond breast the parting soul relies,
Some pious drops the closing eye requires;
Ev'n from the tomb the voice of Nature cries,
Ev'n in our Ashes live their wonted Fires.

For thee, who, mindful of th' unhonour'd dead,
Dost in these lines their artless tale relate;
If chance, by lonely contemplation led,
Some kindred spirit shall inquire thy fate,

Haply some hoary-headed Swain may say,
'Oft have we seen him at the peep of dawn
Brushing with hasty steps the dews away
To meet the sun upon the upland lawn.

'There at the foot of yonder nodding beech
That wreathes its old fantastic roots so high,
His listless length at noontide would he stretch,
And pore upon the brook that babbles by.

'Hard by yon wood, now smiling as in scorn,
Mutt'ring his wayward fancies he would rove,
Now drooping, woeful wan, like one forlorn,
Or crazed with care, or cross'd in hopeless love.

'One morn I miss'd him on the custom'd hill,
Along the heath and near his fav'rite tree;
Another came; nor yet beside the rill,
Nor up the lawn, nor at the wood was he;

'The next with dirges due in sad array
Slow through the church-way path we saw him borne.
Approach and read (for thou canst read) the lay
Graved on the stone beneath yon aged thorn:'

THE EPITAPH

Here rests his head upon the lap of Earth
A Youth to Fortune and to Fame unknown.
Fair Science frown'd not on his humble birth,
And Melancholy mark'd him for her own.

Large was his bounty, and his soul sincere,
Heav'n did a recompense as largely send:
He gave to Mis'ry all he had, a tear,
He gain'd from Heav'n ('twas all he wish'd) a friend.

No farther seek his merits to disclose,
Or draw his frailties from their dread abode,
(There they alike in trembling hope repose,)
The bosom of his Father and his God.",Elegy
1,Dylan Thomas,Elegy,"Too proud to die; broken and blind he died
The darkest way, and did not turn away,
A cold kind man brave in his narrow pride

On that darkest day, Oh, forever may
He lie lightly, at last, on the last, crossed
Hill, under the grass, in love, and there grow

Young among the long flocks, and never lie lost
Or still all the numberless days of his death, though
Above all he longed for his mother's breast

Which was rest and dust, and in the kind ground
The darkest justice of death, blind and unblessed.
Let him find no rest but be fathered and found,

I prayed in the crouching room, by his blind bed,
In the muted house, one minute before
Noon, and night, and light. the rivers of the dead

Veined his poor hand I held, and I saw
Through his unseeing eyes to the roots of the sea.
(An old tormented man three-quarters blind,

I am not too proud to cry that He and he
Will never never go out of my mind.
All his bones crying, and poor in all but pain,

Being innocent, he dreaded that he died
Hating his God, but what he was was plain:
An old kind man brave in his burning pride.

The sticks of the house were his; his books he owned.
Even as a baby he had never cried;
Nor did he now, save to his secret wound.

Out of his eyes I saw the last light glide.
Here among the liught of the lording sky
An old man is with me where I go

Walking in the meadows of his son's eye
On whom a world of ills came down like snow.
He cried as he died, fearing at last the spheres'

Last sound, the world going out without a breath:
Too proud to cry, too frail to check the tears,
And caught between two nights, blindness and death.

O deepest wound of all that he should die
On that darkest day. oh, he could hide
The tears out of his eyes, too proud to cry.

Until I die he will not leave my side.)",Elegy
2,Rainer Maria Rilke,Duino Elegies: The First Elegy,"Who, if I cried out, would hear me among the angels'
hierarchies? and even if one of them suddenly
pressed me against his heart, I would perish
in the embrace of his stronger existence.
For beauty is nothing but the beginning of terror
which we are barely able to endure and are awed
because it serenely disdains to annihilate us.
Each single angel is terrifying.
And so I force myself, swallow and hold back
the surging call of my dark sobbing.
Oh, to whom can we turn for help?
Not angels, not humans;
and even the knowing animals are aware that we feel
little secure and at home in our interpreted world.
There remains perhaps some tree on a hillside
daily for us to see; yesterday's street remains for us
stayed, moved in with us and showed no signs of leaving.
Oh, and the night, the night, when the wind
full of cosmic space invades our frightened faces.
Whom would it not remain for -that longed-after,
gently disenchanting night, painfully there for the
solitary heart to achieve? Is it easier for lovers?
Don't you know yet ? Fling out of your arms the 
emptiness into the spaces we breath -perhaps the birds
will feel the expanded air in their more ferven flight.

Yes, the springtime were in need of you. Often a star
waited for you to espy it and sense its light.
A wave rolled toward you out of the distant past,
or as you walked below an open window,
a violin gave itself to your hearing.
All this was trust. But could you manage it?
Were you not always distraught by expectation,
as if all this were announcing the arrival
of a beloved?  (Where would you find a place
to hide her, with all your great strange thoughts 
coming and going and often staying for the night.)
When longing overcomes you, sing of women in love;
for their famous passion is far from immortal enough.
Those whom you almost envy, the abandoned and
desolate ones, whom you found so much more loving
than those gratified. Begin ever new again
the praise you cannot attain; remember:
the hero lives on and survives; even his downfall
was for him only a pretext for achieving
his final birth. But nature, exhausted, takes lovers
back into itself, as if such creative forces could never be
achieved a second time.
Have you thought of Gaspara Stampa sufficiently:

that any girl abandoned by her lover may feel
from that far intenser example of loving:
""Ah, might I become like her!"" Should not their oldest
sufferings finally become more fruitful for us?
Is it not time that lovingly we freed ourselves
from the beloved and, quivering, endured:
as the arrow endures the bow-string's tension,
and in this tense release becomes more than itself.
For staying is nowhere.

Voices, voices. Listen my heart, as only saints
have listened: until the gigantic call lifted them
clear off the ground. Yet they went on, impossibly,
kneeling, completely unawares: so intense was
their listening. Not that you could endure
the voice of God -far from it! But listen
to the voice of the wind and the ceaseless message
that forms itself out of silence. They sweep
toward you now from those who died young.
Whenever they entered a church in Rome or Naples,
did not their fate quietly speak to you as recently
as the tablet did in Santa Maria Formosa?
What do they want of me? to quietly remove
the appearance of suffered injustice that,
at times, hinders a little their spirits from
freely proceeding onward.

Of course, it is strange to inhabit the earth no longer,
to no longer use skills on had barely time to acquire;
not to observe roses and other things that promised
so much in terms of a human future, no longer
to be what one was in infinitely anxious hands;
to even discard one's own name as easily as a child
abandons a broken toy.
Strange, not to desire to continue wishing one's wishes.
Strange to notice all that was related, fluttering
so loosely in space. And being dead is hard work
and full of retrieving before one can gradually feel a
trace of eternity. -Yes, but the liviing make
the mistake of drawing too sharp a distinction.
Angels (they say) are often unable to distinguish
between moving among the living or the dead.
The eternal torrent whirls all ages along with it,
through both realms forever, and their voices are lost in
its thunderous roar.

In the end the early departed have no longer
need of us. One is gently weaned from things
of this world as a child outgrows the need
of its mother's breast. But we who have need 
of those great mysteries, we for whom grief is
so often the source of spiritual growth,
could we exist without them?
Is the legend vain that tells of music's beginning
in the midst of the mourning for Linos?
the daring first sounds of song piercing
the barren numbness, and how in that stunned space
an almost godlike youth suddenly left forever,
and the emptiness felt for the first time
those harmonious vibrations which now enrapture
and comfort and help us.


Translated by Albert Ernest Flemming",Elegy
3,Theodore Roethke,Elegy For Jane,"(My student, thrown by a horse)

I remember the neckcurls, limp and damp as tendrils; 
And her quick look, a sidelong pickerel smile; 
And how, once started into talk, the light syllables leaped for her. 
And she balanced in the delight of her thought, 
A wren, happy, tail into the wind, 
Her song trembling the twigs and small branches. 
The shade sang with her; 
The leaves, their whispers turned to kissing, 
And the mould sang in the bleached valleys under the rose. 

Oh, when she was sad, she cast herself down into such a pure depth, 
Even a father could not find her: 
Scraping her cheek against straw, 
Stirring the clearest water. 
My sparrow, you are not here, 
Waiting like a fern, making a spiney shadow. 
The sides of wet stones cannot console me, 
Nor the moss, wound with the last light. 

If only I could nudge you from this sleep, 
My maimed darling, my skittery pigeon. 
Over this damp grave I speak the words of my love: 
I, with no rights in this matter, 
Neither father nor lover.",Elegy
4,Wilfred Owen,Elegy In April And September,"Hush, thrush! Hush, missen-thrush, I listen...
I heard the flush of footsteps through the loose leaves,
And a low whistle by the water's brim.

Still! Daffodil! Nay, hail me not so gaily,-
Your gay gold lily daunts me and deceives,
Who follow gleams more golden and more slim.

Look, brook! O run and look, O run!
The vain reeds shook? - Yet search till gray sea heaves,
And I will stray among these fields for him.

Gaze, daisy! Stare through haze and glare,
And mark the hazardous stars all dawns and eves,
For my eye withers, and his star wanes dim.


2

Close, rose, and droop, heliotrope,
And shudder, hope! The shattering winter blows.
Drop, heliotrope, and close, rose...

Mourn, corn, and sigh, rye.
Men garner you, but youth's head lies forlorn.
Sigh, rye, and mourn, corn...

Brood, wood, and muse, yews,
The ways gods use we have not understood.
Muse, yews, and brood, wood...",Elegy
5,Rainer Maria Rilke,Duino Elegies: The Tenth Elegy,"That some day, emerging at last from the terrifying vision
I may burst into jubilant praise to assenting angels!
That of the clear-struck keys of the heart not one may fail
to sound because of a loose, doubtful or broken string!
That my streaming countenance may make me more resplendent
That my humble weeping change into blossoms.
Oh, how will you then, nights of suffering, be remembered
with love. Why did I not kneel more fervently, disconsolate
sisters, more bendingly kneel to receive you, more loosely
surrender myself to your loosened hair? We, squanderers of
gazing beyond them to judge the end of their duration.
They are only our winter's foliage, our sombre evergreen,
one of the seasons of our interior year, -not only season,
but place, settlement, camp, soil and dwelling.

How woeful, strange, are the alleys of the City of Pain,
where in the false silence created from too much noise,
a thing cast out from the mold of emptiness
swaggers that gilded hubbub, the bursting memorial.
Oh, how completely an angel would stamp out their market
of solace, bounded by the church, bought ready for use:
as clean, disappointing and closed as a post office on Sunday.
Farther out, though, there are always the rippling edges
of the fair. Seasaws of freedom! High-divers and jugglers of zeal!
And the shooting-gallery's targets of bedizened happiness:
targets tumbling in tinny contortions whenever some better
marksman happens to hit one. From cheers to chance he goes
staggering on, as booths that can please the most curious tastes
are drumming and bawling. For adults ony there is something
special to see: how money multiplies. Anatomy made amusing!
Money's organs on view! Nothing concealed! Instructive,
and guaranteed to increase fertility!...

                                                            Oh, and then outside,
behind the farthest billboard, pasted with posters for 'Deathless,'
that bitter beer tasting quite sweet to drinkers,
if they chew fresh diversions with it..
Behind the billboard, just in back of it, life is real.
Children play, and lovers hold each other, -aside,
earnestly, in the trampled grass, and dogs respond to nature.
The youth continues onward; perhaps he is in love with
a young Lament....he follows her into the meadows.
She says: the way is long. We live out there....
                                                        Where? And the youth
follows. He is touched by her gentle bearing. The shoulders,
the neck, -perhaps she is of noble ancestry? 
Yet he leaves her, turns around, looks back and waves...
What could come of it? She is a Lament.

Only those who died young, in their first state of
timeless serenity, while they are being weaned,
follow her lovingly. She waits for girls
and befriends them. Gently she shows them
what she is wearing. Pearls of grief
and the fine-spun veils of patience.-
With youths she walks in silence.

But there, where they live, in the valley,
an elderly Lament responds to the youth as he asks:-
We were once, she says, a great race, we Laments.
Our fathers worked the mines up there in the mountains;
sometimes among men you will find a piece of polished
primeval pain, or a petrified slag from an ancient volcano.
Yes, that came from there. Once we were rich.-

And she leads him gently through the vast landscape
of Lamentation, shows him the columns of temples,
the ruins of strongholds from which long ago
the princes of Lament wisely governed the country.
Shows him the tall trees of tears,
the fields of flowering sadness,
(the living know them only as softest foliage);
show him the beasts of mourning, grazing-
and sometimes a startled bird, flying straight through
their field of vision, far away traces the image of its
solitary cry.-
At evening she leads him to the graves of elders
of the race of Lamentation, the sybils and prophets.
With night approaching, they move more softly,
and soon there looms ahead, bathed in moonlight,
the sepulcher, that all-guarding ancient stone,
Twin-brother to that on the Nile, the lofty Sphinx-:
the silent chamber's countenance.
They marvel at the regal head that has, forever silent,
laid the features of manking upon the scales of the stars.
His sight, still blinded by his early death,
cannot grasp it. But the Sphinx's gaze
frightens an owl from the rim of the double-crown.
The bird, with slow down-strokes, brushes
along the cheek, that with the roundest curve, 
and faintly inscribes on the new death-born hearing,
as though on the double page of an opened book,
the indescribable outline.

And higher up, the stars. New ones. Stars
of the land of pain. Slowly she names them:
""There, look: the Rider ,the Staff,and that 
crowded constellation they call the the Garland of Fruit.
Then farther up toward the Pole:
Cradle, Way, the Burning Book, Doll, Window.
And in the Southern sky, pure as lines
on the palm of a blessed hand, the clear sparkling M,
standing for Mothers.....""

Yet the dead  youth must go on alone.
In silence the elder Lament brings him
as far as the gorge where it shimmers in the moonlight:
The Foutainhead of Joy. With reverance she names it,
saying: ""In the world of mankind it is a life-bearing stream.""

They reach the foothills of the mountain,
and there she embraces him, weeping.

Alone, he climbs the mountains of primeval pain.
Not even his footsteps ring from this soundless fate.

But were these timeless dead to awaken an image for us,
see, they might be pointing to th catkins, hanging
from the leafless hazels, or else they might mean
the rain that falls upon the dark earth in early Spring.

And we, who always think
of happiness as rising feel the emotion
that almost overwhelms us
whenever a happy thing falls.


Translated by Albert Ernest Flemming",Elegy
6,Rainer Maria Rilke,Duino Elegies: The Fourth Elegy,"O trees of life, oh, what when winter comes?
We are not of one mind. Are not like birds
in unison migrating. And overtaken,
overdue, we thrust ourselves into the wind
and fall to earth into indifferent ponds.
Blossoming and withering we comprehend as one.
And somewhere lions roam, quite unaware,
in their magnificence, of any weaknesss.

But we, while wholly concentrating on one thing,
already feel the pressure of another.
Hatred is our first response. And lovers,
are they not forever invading one another's
boundaries? -although they promised space,
hunting and homeland. Then, for a sketch
drawn at a moment's impulse, a ground of contrast
is prepared, painfully, so that we may see.
For they are most exact with us. We do not know
the contours of our feelings. We only know 
what shapes them from the outside. 

Who has not sat, afraid, before his own heart's
curtain? It lifted and displayed the scenery
of departure. Easy to understand. The well-known
garden swaying just a little. Then came the dancer.
Not he! Enough! However lightly he pretends to move:
he is just disguised, costumed, an ordinary man
who enters through the kitchen when coming home.
I will not have these half-filled human masks;
better the puppet. It at least is full.
I will endure this well-stuffed doll, the wire,
the face that is nothing but appearance. Here out front
I wait. Even if the lights go down and I am told:
""There's nothing  more to come,"" -even if
the grayish drafts of emptiness come drifting down
from the deserted stage -even if not one
of my now silent forebears sist beside me
any longer, not a woman, not even a boy-
he with the brown and squinting eyes-:
I'll still remain. For one can always watch.

Am I not right?  You, to whom life would taste
so bitter, Father, after you - for my sake -
slipped of mine, that first muddy infusion
of my necessity. You kept on tasting, Father,
as I kept on growing, troubled by the aftertaste
of my so strange a future as you kept searching
my unfocused gaze -you who, so often since
you died, have been afraid for my well-being,
within my deepest hope, relinquishing that calmness,
the realms of equanimity such as the dead possess
for my so small fate -Am I not right?

And you, my parents, am I not right? You who loved me
for that small beginning of my love for you
from which I always shyly turned away, because
the distance in your features grew, changed,
even while I loved it, into cosmic space
where you no longer were...: and when I feel
inclined to wait before the puppet stage, no,
rather to stare at is so intensely that in the end
to counter-balance my searching gaze, an angel
has to come as an actor, and begin manipulating
the lifeless bodies of the puppets to perform.
Angel and puppet! Now at last there is a play!
Then what we seperate can come together by our
very presence. And only then the entire cycle
of our own life-seasons is revealed and set in motion.
Above, beyond us, the angel plays. Look:
must not the dying notice how unreal, how full
of pretense is all that we accomplish here, where
nothing is to be itself. O hours of childhood,
when behind each shape more that the past lay hidden,
when that which lay before us was not the future.

We grew, of course, and sometimes were impatient
in growing up,  half for the sake of pleasing those
with nothing left but their own grown-upness.
Yet, when alone, we entertained ourselves
with what alone endures, we would stand there
in the infinite space that spans the world and toys,
upon a place, which from the first beginnniing
had been prepared to serve a pure event.

Who shows a child just as it stands? Who places him
within his constellation, with the measuring-rod
of distance in his hand. Who makes his death
from gray bread that grows hard, -or leaves
it there inside his rounded mouth, jagged as the core
of a sweet apple?.......The minds of murderers
are easily comprehended. But this: to contain death,
the whole of death, even before life has begun,
to hold it all so gently within oneself,
and not be angry: that is indescribable.


Translated by Albert Ernest Flemming",Elegy
7,Alexander Pope,Elegy To The Memory Of An Unfortunate Lady,"What beck'ning ghost, along the moon-light shade
Invites my steps, and points to yonder glade?
'Tis she!--but why that bleeding bosom gor'd,
Why dimly gleams the visionary sword?
Oh ever beauteous, ever friendly! tell,
Is it, in heav'n, a crime to love too well?
To bear too tender, or too firm a heart,
To act a lover's or a Roman's part?
Is there no bright reversion in the sky,
For those who greatly think, or bravely die?

Why bade ye else, ye pow'rs! her soul aspire
Above the vulgar flight of low desire?
Ambition first sprung from your blest abodes;
The glorious fault of angels and of gods;
Thence to their images on earth it flows,
And in the breasts of kings and heroes glows.
Most souls, 'tis true, but peep out once an age,
Dull sullen pris'ners in the body's cage:
Dim lights of life, that burn a length of years
Useless, unseen, as lamps in sepulchres;
Like eastern kings a lazy state they keep,
And close confin'd to their own palace, sleep.

From these perhaps (ere nature bade her die)
Fate snatch'd her early to the pitying sky.
As into air the purer spirits flow,
And sep'rate from their kindred dregs below;
So flew the soul to its congenial place,
Nor left one virtue to redeem her race.

But thou, false guardian of a charge too good,
Thou, mean deserter of thy brother's blood!
See on these ruby lips the trembling breath,
These cheeks now fading at the blast of death:
Cold is that breast which warm'd the world before,
And those love-darting eyes must roll no more.
Thus, if eternal justice rules the ball,
Thus shall your wives, and thus your children fall;
On all the line a sudden vengeance waits,
And frequent hearses shall besiege your gates.
There passengers shall stand, and pointing say,
(While the long fun'rals blacken all the way)
""Lo these were they, whose souls the furies steel'd,
And curs'd with hearts unknowing how to yield.
Thus unlamented pass the proud away,
The gaze of fools, and pageant of a day!
So perish all, whose breast ne'er learn'd to glow
For others' good, or melt at others' woe.""

What can atone (oh ever-injur'd shade!)
Thy fate unpitied, and thy rites unpaid?
No friend's complaint, no kind domestic tear
Pleas'd thy pale ghost, or grac'd thy mournful bier.
By foreign hands thy dying eyes were clos'd,
By foreign hands thy decent limbs compos'd,
By foreign hands thy humble grave adorn'd,
By strangers honour'd, and by strangers mourn'd!
What though no friends in sable weeds appear,
Grieve for an hour, perhaps, then mourn a year,
And bear about the mockery of woe
To midnight dances, and the public show?
What though no weeping loves thy ashes grace,
Nor polish'd marble emulate thy face?
What though no sacred earth allow thee room,
Nor hallow'd dirge be mutter'd o'er thy tomb?
Yet shall thy grave with rising flow'rs be drest,
And the green turf lie lightly on thy breast:
There shall the morn her earliest tears bestow,
There the first roses of the year shall blow;
While angels with their silver wings o'ershade
The ground, now sacred by thy reliques made.

So peaceful rests, without a stone, a name,
What once had beauty, titles, wealth, and fame.
How lov'd, how honour'd once, avails thee not,
To whom related, or by whom begot;
A heap of dust alone remains of thee,
'Tis all thou art, and all the proud shall be!

Poets themselves must fall, like those they sung,
Deaf the prais'd ear, and mute the tuneful tongue.
Ev'n he, whose soul now melts in mournful lays,
Shall shortly want the gen'rous tear he pays;
Then from his closing eyes thy form shall part,
And the last pang shall tear thee from his heart,
Life's idle business at one gasp be o'er,
The Muse forgot, and thou belov'd no more!",Elegy
8,Wilfred Owen,An Imperial Elegy,"Not one corner of a foreign field
But a span as wide as Europe;
An appearance of a titan's grave,
And the length thereof a thousand miles,
It crossed all Europe like a mystic road,
Or as the Spirits' Pathway lieth on the night.
And I heard a voice crying
This is the Path of Glory.",Elegy
9,John Donne,Elegy Xix: To His Mistress Going To Bed,"Come, madam, come, all rest my powers defy,
Until I labor, I in labor lie.
The foe oft-times having the foe in sight,
Is tired with standing though he never fight.
Off with that girdle, like heaven's zone glistering,
But a far fairer world encompassing.
Unpin that spangled breastplate which you wear,
That th' eyes of busy fools may be stopped there.
Unlace yourself, for that harmonious chime
Tells me from you that now it is bed time.
Off with that happy busk, which I envy,
That still can be, and still can stand so nigh.
Your gown, going off, such beauteous state reveals,
As when from flowry meads th' hill's shadow steals.
Off with that wiry coronet and show
The hairy diadem which on you doth grow:
Now off with those shoes, and then safely tread
In this love's hallowed temple, this soft bed.
In such white robes, heaven's angels used to be
Received by men; thou, Angel, bring'st with thee
A heaven like Mahomet's Paradise; and though
Ill spirits walk in white, we easily know
By this these angels from an evil sprite:
Those set our hairs, but these our flesh upright. 

License my roving hands, and let them go 
Before, behind, between, above, below.
O my America! my new-found-land,
My kingdom, safeliest when with one man manned,
My mine of precious stones, my empery,
How blest am I in this discovering of thee!
To enter in these bonds is to be free;
Then where my hand is set, my seal shall be.

Full nakedness! All joys are due to thee, 
As souls unbodied, bodies unclothed must be
To taste whole joys. Gems which you women use
Are like Atlanta's balls, cast in men's views,
That when a fools' eye lighteth on a gem,
His earthly soul may covet theirs, not them.
Like pictures, or like books' gay coverings made
For lay-men, are all women thus arrayed;
Themselves are mystic books, which only we
(Whom their imputed grace will dignify)
Must see revealed. Then, since that I may know,
As liberally as to a midwife, show
Thyself: cast all, yea, this white linen hence,
There is no penance due to innocence. 
To teach thee, I am naked first; why than, 
What needst thou have more covering than a man?",Elegy
