,Author,Title,Poem,Form
0,Helen Hunt Jackson,A Calendar Of Sonnets: January,"O Winter! frozen pulse and heart of fire, 
What loss is theirs who from thy kingdom turn 
Dismayed, and think thy snow a sculptured urn 
Of death! Far sooner in midsummer tire 
The streams than under ice. June could not hire 
Her roses to forego the strength they learn 
In sleeping on thy breast. No fires can burn 
The bridges thou dost lay where men desire 
In vain to build. 
O Heart, when Love's sun goes 
To northward, and the sounds of singing cease, 
Keep warm by inner fires, and rest in peace. 
Sleep on content, as sleeps the patient rose. 
Walk boldly on the white untrodden snows, 
The winter is the winter's own release.",Sonnet
1,Helen Hunt Jackson,A Calendar Of Sonnets: October,"The month of carnival of all the year, 
When Nature lets the wild earth go its way, 
And spend whole seasons on a single day. 
The spring-time holds her white and purple dear; 
October, lavish, flaunts them far and near; 
The summer charily her reds doth lay 
Like jewels on her costliest array; 
October, scornful, burns them on a bier. 
The winter hoards his pearls of frost in sign 
Of kingdom: whiter pearls than winter knew, 
Oar empress wore, in Egypt's ancient line, 
October, feasting 'neath her dome of blue, 
Drinks at a single draught, slow filtered through 
Sunshiny air, as in a tingling wine!",Sonnet
2,Edna St. Vincent Millay,[four Sonnets (1922)],"I1.
   Love, though for this you riddle me with darts, 
   And drag me at your chariot till I die, -- 
   Oh, heavy prince! Oh, panderer of hearts! -- 
   Yet hear me tell how in their throats they lie 
   Who shout you mighty: thick about my hair, 
   Day in, day out, your ominous arrows purr,  
   Who still am free, unto no querulous care 
   A fool, and in no temple worshiper! 
   I, that have bared me to your quiver's fire, 

  Lifted my face into its puny rain, 

  Do wreathe you Impotent to Evoke Desire 

  As you are Powerless to Elicit Pain! 

  (Now will the god, for blasphemy so brave, 

  Punish me, surely, with the shaft I crave!)  II2.
   I think I should have loved you presently, 
   And given in earnest words I flung in jest; 
   And lifted honest eyes for you to see, 
   And caught your hand against my cheek and breast; 
   And all my pretty follies flung aside 
   That won you to me, and beneath your gaze, 
   Naked of reticence and shorn of pride, 
   Spread like a chart my little wicked ways. 
   I, that had been to you, had you remained, 

  But one more waking from a recurrent dream, 

  Cherish no less the certain stakes I gained, 

  And walk your memory's halls, austere, supreme, 

  A ghost in marble of a girl you knew 

  Who would have loved you in a day or two. III3.
   Oh, think not I am faithful to a vow! 
   Faithless am I save to love's self alone. 
   Were you not lovely I would leave you now: 
   After the feet of beauty fly my own. 
   Were you not still my hunger's rarest food, 
   And water ever to my wildest thirst, 
   I would desert you -- think not but I would! -- 
   And seek another as I sought you first. 
   But you are mobile as the veering air, 

  And all your charms more changeful than the tide, 

  Wherefore to be inconstant is no care: 

  I have but to continue at your side. 

  So wanton, light and false, my love, are you, 

  I am most faithless when I most am true. IV4.
  I shall forget you presently, my dear, 
  So make the most of this, your little day, 
  Your little month, your little half a year, 
  Ere I forget, or die, or move away, 
  And we are done forever; by and by 
  I shall forget you, as I said, but now, 
  If you entreat me with your loveliest lie 
  I will protest you with my favorite vow. 
  I would indeed that love were longer-lived, 

  And vows were not so brittle as they are, 

  But so it is, and nature has contrived 

  To struggle on without a break thus far, -- 

  Whether or not we find what we are seeking 

  Is idle, biologically speaking.",Sonnet
3,Helen Hunt Jackson,A Calendar Of Sonnets: April,"No days such honored days as these! While yet 
Fair Aphrodite reigned, men seeking wide 
For some fair thing which should forever bide 
On earth, her beauteous memory to set 
In fitting frame that no age could forget, 
Her name in lovely April's name did hide, 
And leave it there, eternally allied 
To all the fairest flowers Spring did beget. 
And when fair Aphrodite passed from earth, 
Her shrines forgotten and her feasts of mirth, 
A holier symbol still in seal and sign, 
Sweet April took, of kingdom most divine, 
When Christ ascended, in the time of birth 
Of spring anemones, in Palestine.",Sonnet
4,Helen Hunt Jackson,A Calendar Of Sonnets: November,"This is the treacherous month when autumn days 
With summer's voice come bearing summer's gifts. 
Beguiled, the pale down-trodden aster lifts 
Her head and blooms again. The soft, warm haze 
Makes moist once more the sere and dusty ways, 
And, creeping through where dead leaves lie in drifts, 
The violet returns. Snow noiseless sifts 
Ere night, an icy shroud, which morning's rays 
Willidly shine upon and slowly melt, 
Too late to bid the violet live again. 
The treachery, at last, too late, is plain; 
Bare are the places where the sweet flowers dwelt. 
What joy sufficient hath November felt? 
What profit from the violet's day of pain?",Sonnet
5,Edna St. Vincent Millay,Sonnets 04: Only Until This Cigarette Is..,"Only until this cigarette is ended,
A little moment at the end of all,
While on the floor the quiet ashes fall,
And in the firelight to a lance extended,
Bizarrely with the jazzing music blended,
The broken shadow dances on the wall,
I will permit my memory to recall
The vision of you, by all my dreams attended.
And then adieu,—farewell!—the dream is done.
Yours is a face of which I can forget
The color and the features, every one,
The words not ever, and the smiles not yet;
But in your day this moment is the sun
Upon a hill, after the sun has set.",Sonnet
6,Helen Hunt Jackson,A Calendar Of Sonnets: September,"O golden month! How high thy gold is heaped! 
The yellow birch-leaves shine like bright coins strung 
On wands; the chestnut's yellow pennons tongue 
To every wind its harvest challenge. Steeped 
In yellow, still lie fields where wheat was reaped; 
And yellow still the corn sheaves, stacked among 
The yellow gourds, which from the earth have wrung 
Her utmost gold. To highest boughs have leaped 
The purple grape,--last thing to ripen, late 
By very reason of its precious cost. 
O Heart, remember, vintages are lost 
If grapes do not for freezing night-dews wait. 
Think, while thou sunnest thyself in Joy's estate, 
Mayhap thou canst not ripen without frost!",Sonnet
7,William Shakespeare,Sonnets Xviii: Shall I Compare Thee To A..,"Shall I compare thee to a summer's day?
    Thou art more lovely and more temperate.
    Rough winds do shake the darling buds of May,
    And summer's lease hath all too short a date.
    Sometime too hot the eye of heaven shines,
    And often is his gold complexion dimm'd;
    And every fair from fair sometime declines,
    By chance or nature's changing course untrimm'd;
    But thy eternal summer shall not fade
  Nor lose possession of that fair thou ow'st;
  Nor shall Death brag thou wander'st in his shade,
  When in eternal lines to time thou grow'st:
  So long as men can breathe or eyes can see,
  So long lives this, and this gives life to thee.",Sonnet
8,Christina Georgina Rossetti,Monna Innominata: A Sonnet Of Sonnets,"1

Lo dì che han detto a' dolci amici addio. - Dante
Amor, con quanto sforzo oggi mi vinci! - Petrarca

Come back to me, who wait and watch for you:--
Or come not yet, for it is over then,
And long it is before you come again,
So far between my pleasures are and few.
While, when you come not, what I do I do
Thinking ""Now when he comes,"" my sweetest when:""
For one man is my world of all the men
This wide world holds; O love, my world is you.
Howbeit, to meet you grows almost a pang
Because the pang of parting comes so soon;
My hope hangs waning, waxing, like a moon
Between the heavenly days on which we meet:
Ah me, but where are now the songs I sang
When life was sweet because you call'd them sweet? 

2 

Era già 1'ora che volge il desio. - Dante
Ricorro al tempo ch' io vi vidi prima. - Petrarca

I wish I could remember that first day,
First hour, first moment of your meeting me,
If bright or dim the season, it might be
Summer or winter for aught I can say;
So unrecorded did it slip away,
So blind was I to see and to foresee,
So dull to mark the budding of my tree
That would not blossom yet for many a May.
If only I could recollect it, such
A day of days! I let it come and go
As traceless as a thaw of bygone snow;
It seem'd to mean so little, meant so much;
If only now I could recall that touch,
First touch of hand in hand--Did one but know! 


3 

O ombre vane, fuor che ne l'aspetto!  - Dante
Immaginata guida la conduce. - Petrarca

I dream of you to wake: would that I might
Dream of you and not wake but slumber on;
Nor find with dreams the dear companion gone,
As summer ended summer birds take flight.
In happy dreams I hold you full in sight,
I blush again who waking look so wan;
Brighter than sunniest day that ever shone,
In happy dreams your smile makes day of night.
Thus only in a dream we are at one,
Thus only in a dream we give and take
The faith that maketh rich who take or give;
If thus to sleep is sweeter than to wake,
To die were surely sweeter than to live,
Though there be nothing new beneath the sun. 


4 

Poca favilla gran fliamma seconda. - Dante
Ogni altra cosa, ogni pensier va fore,
E sol ivi con voi rimansi amore.  - Petrarca

I lov'd you first: but afterwards your love
Outsoaring mine, sang such a loftier song
As drown'd the friendly cooings of my dove.
Which owes the other most? my love was long,
And yours one moment seem'd to wax more strong;
I lov'd and guess'd at you, you construed me--
And lov'd me for what might or might not be
Nay, weights and measures do us both a wrong.
For verily love knows not ""mine"" or ""thine;""
With separate ""I"" and ""thou"" free love has done,
For one is both and both are one in love:
Rich love knows nought of ""thine that is not mine;""
Both have the strength and both the length thereof,
Both of us, of the love which makes us one. 


5 

Amor che a nullo amato amar perdona. - Dante
Amor m'addusse in sì gioiosa spene. - Petrarca

O my heart's heart, and you who are to me
More than myself myself, God be with you,
Keep you in strong obedience leal and true
To Him whose noble service setteth free,
Give you all good we see or can foresee,
Make your joys many and your sorrows few,
Bless you in what you bear and what you do,
Yea, perfect you as He would have you be.
So much for you; but what for me, dear friend?
To love you without stint and all I can
Today, tomorrow, world without an end;
To love you much and yet to love you more,
As Jordan at his flood sweeps either shore;
Since woman is the helpmeet made for man. 


6 

Or puoi la quantitate
Comprender de l'amor che a te mi scalda. - Dante
Non vo' che da tal nodo mi scioglia.  - Petrarca

Trust me, I have not earn'd your dear rebuke,
I love, as you would have me, God the most;
Would lose not Him, but you, must one be lost,
Nor with Lot's wife cast back a faithless look
Unready to forego what I forsook;
This say I, having counted up the cost,
This, though I be the feeblest of God's host,
The sorriest sheep Christ shepherds with His crook.
Yet while I love my God the most, I deem
That I can never love you overmuch;
I love Him more, so let me love you too;
Yea, as I apprehend it, love is such
I cannot love you if I love not Him,
I cannot love Him if I love not you. 


7 

Qui primavera sempre ed ogni frutto. - Dante
Ragionando con meco ed io con lui.  - Petrarca

""Love me, for I love you""--and answer me,
""Love me, for I love you""--so shall we stand
As happy equals in the flowering land
Of love, that knows not a dividing sea.
Love builds the house on rock and not on sand,
Love laughs what while the winds rave desperately;
And who hath found love's citadel unmann'd?
And who hath held in bonds love's liberty?
My heart's a coward though my words are brave
We meet so seldom, yet we surely part
So often; there's a problem for your art!
Still I find comfort in his Book, who saith,
Though jealousy be cruel as the grave,
And death be strong, yet love is strong as death. 


8 

Come dicesse a Dio: D'altro non calme.  - Dante
Spero trovar pietà non che perdono.  - Petrarca

""I, if I perish, perish""--Esther spake:
And bride of life or death she made her fair
In all the lustre of her perfum'd hair
And smiles that kindle longing but to slake.
She put on pomp of loveliness, to take
Her husband through his eyes at unaware;
She spread abroad her beauty for a snare,
Harmless as doves and subtle as a snake.
She trapp'd him with one mesh of silken hair,
She vanquish'd him by wisdom of her wit,
And built her people's house that it should stand:--
If I might take my life so in my hand,
And for my love to Love put up my prayer,
And for love's sake by Love be granted it! 


9 

O dignitosa coscienza e netta! - Dante
Spirto più acceso di virtuti ardenti. - Petrarca

Thinking of you, and all that was, and all
That might have been and now can never be,
I feel your honour'd excellence, and see
Myself unworthy of the happier call:
For woe is me who walk so apt to fall,
So apt to shrink afraid, so apt to flee,
Apt to lie down and die (ah, woe is me!)
Faithless and hopeless turning to the wall.
And yet not hopeless quite nor faithless quite,
Because not loveless; love may toil all night,
But take at morning; wrestle till the break
Of day, but then wield power with God and man:--
So take I heart of grace as best I can,
Ready to spend and be spent for your sake. 


10 

Con miglior corso e con migliore stella.  - Dante
La vita fugge e non s'arresta un' ora.  - Petrarca

Time flies, hope flags, life plies a wearied wing;
Death following hard on life gains ground apace;
Faith runs with each and rears an eager face,
Outruns the rest, makes light of everything,
Spurns earth, and still finds breath to pray and sing;
While love ahead of all uplifts his praise,
Still asks for grace and still gives thanks for grace,
Content with all day brings and night will bring.
Life wanes; and when love folds his wings above
Tired hope, and less we feel his conscious pulse,
Let us go fall asleep, dear friend, in peace:
A little while, and age and sorrow cease;
A little while, and life reborn annuls
Loss and decay and death, and all is love. 


11 

Vien dietro a me e lascia dir le genti. - Dante
Contando i casi della vita nostra.  - Petrarca

Many in aftertimes will say of you
""He lov'd her""--while of me what will they say?
Not that I lov'd you more than just in play,
For fashion's sake as idle women do.
Even let them prate; who know not what we knew
Of love and parting in exceeding pain,
Of parting hopeless here to meet again,
Hopeless on earth, and heaven is out of view.
But by my heart of love laid bare to you,
My love that you can make not void nor vain,
Love that foregoes you but to claim anew
Beyond this passage of the gate of death,
I charge you at the Judgment make it plain
My love of you was life and not a breath. 


12 

Amor, che ne la mente mi ragiona. - Dante
Amor vien nel bel viso di costei.  - Petrarca

If there be any one can take my place
And make you happy whom I grieve to grieve,
Think not that I can grudge it, but believe
I do commend you to that nobler grace,
That readier wit than mine, that sweeter face;
Yea, since your riches make me rich, conceive
I too am crown'd, while bridal crowns I weave,
And thread the bridal dance with jocund pace.
For if I did not love you, it might be
That I should grudge you some one dear delight;
But since the heart is yours that was mine own,
Your pleasure is my pleasure, right my right,
Your honourable freedom makes me free,
And you companion'd I am not alone. 


13 

E drizzeremo gli occhi al Primo Amore. - Dante
Ma trovo peso non da le mie braccia.  - Petrarca

If I could trust mine own self with your fate,
Shall I not rather trust it in God's hand?
Without Whose Will one lily doth not stand,
Nor sparrow fall at his appointed date;
Who numbereth the innumerable sand,
Who weighs the wind and water with a weight,
To Whom the world is neither small nor great,
Whose knowledge foreknew every plan we plann'd.
Searching my heart for all that touches you,
I find there only love and love's goodwill
Helpless to help and impotent to do,
Of understanding dull, of sight most dim;
And therefore I commend you back to Him
Whose love your love's capacity can fill. 


14 

E la Sua Volontade è nostra pace. - Dante
Sol con questi pensier, con altre chiome.  - Petrarca

Youth gone, and beauty gone if ever there
Dwelt beauty in so poor a face as this;
Youth gone and beauty, what remains of bliss?
I will not bind fresh roses in my hair,
To shame a cheek at best but little fair,--
Leave youth his roses, who can bear a thorn,--
I will not seek for blossoms anywhere,
Except such common flowers as blow with corn.
Youth gone and beauty gone, what doth remain?
The longing of a heart pent up forlorn,
A silent heart whose silence loves and longs;
The silence of a heart which sang its songs
While youth and beauty made a summer morn,
Silence of love that cannot sing again.",Sonnet
9,Rainer Maria Rilke,The Sonnets To Orpheus: Book 2: Xiii,"Be ahead of all parting, as though it already were
behind you, like the winter that has just gone by.
For among these winters there is one so endlessly winter
that only by wintering through it all will your heart survive.

Be forever dead in Eurydice-more gladly arise
into the seamless life proclaimed in your song.
Here, in the realm of decline, among momentary days,
be the crystal cup that shattered even as it rang.

Be-and yet know the great void where all things begin,
the infinite source of your own most intense vibration,
so that, this once, you may give it your perfect assent.

To all that is used-up, and to all the muffled and dumb
creatures in the world's full reserve, the unsayable sums,
joyfully add yourself, and cancel the count.


Translated by Stephen Mitchell",Sonnet
