,Author,Title,Poem,Form
0,Pablo Neruda,Sonnet Lxxxi,"And now you're mine. Rest with your dream in my dream.
Love and pain and work should all sleep, now.
The night turns on its invisible wheels,
and you are pure beside me as a sleeping amber.

No one else, Love, will sleep in my dreams. You will go,
we will go together, over the waters of time.
No one else will travel through the shadows with me,
only you, evergreen, ever sun, ever moon.

Your hands have already opened their delicate fists
and let their soft drifting signs drop away; your eyes closed like two gray
wings, and I move

after, following the folding water you carry, that carries
me away. The night, the world, the wind spin out their destiny.
Without you, I am your dream, only that, and that is all.",Sonnet
1,John Keats,His Last Sonnet,"Bright star, would I were steadfast as thou art! - 
Not in lone splendour hung aloft the night,
And watching, with eternal lids apart,
Like Nature's patient sleepless Eremite,
The moving waters at their priestlike task
Of pure ablution round earth's human shores,
Or gazing on the new soft fallen mask
Of snow upon the mountains and the moors - 
No -yet still steadfast, still unchangeable,
Pillowed upon my fair love's ripening breast,
To feel for ever its soft fall and swell,
Awake for ever in a sweet unrest,
Still, still to hear her tender-taken breath,
And so live ever -or else swoon to death.",Sonnet
2,Pablo Neruda,Sonnet Xi,"I crave your mouth, your voice, your hair.
Silent and starving, I prowl through the streets.
Bread does not nourish me, dawn disrupts me, all day
I hunt for the liquid measure of your steps.

I hunger for your sleek laugh,
your hands the color of a savage harvest,
hunger for the pale stones of your fingernails,
I want to eat your skin like a whole almond.

I want to eat the sunbeam flaring in your lovely body,
the sovereign nose of your arrogant face,
I want to eat the fleeting shade of your lashes,

and I pace around hungry, sniffing the twilight,
hunting for you, for your hot heart,
like a puma in the barrens of Quitratue.",Sonnet
3,Pablo Neruda,Sonnet Viii,"If your eyes were not the color of the moon,
of a day full [here, interrupted by the baby waking -- continued about 26
hours later ]
of a day full of clay, and work, and fire,
if even held-in you did not move in agile grace like the air,
if you were not an amber week,

not the yellow moment
when autumn climbs up through the vines;
if you were not that bread the fragrant moon
kneads, sprinkling its flour across the sky,

oh, my dearest, I could not love you so!
But when I hold you I hold everything that is --
sand, time, the tree of the rain,

everything is alive so that I can be alive:
without moving I can see it all:
in your life I see everything that lives.",Sonnet
4,Edgar Allan Poe,Sonnet- Silence,"There are some qualities- some incorporate things,
        That have a double life, which thus is made
      A type of that twin entity which springs
        From matter and light, evinced in solid and shade.
      There is a two-fold Silence- sea and shore-
        Body and soul. One dwells in lonely places,
        Newly with grass o'ergrown; some solemn graces,
      Some human memories and tearful lore,
      Render him terrorless: his name's ""No More.""
      He is the corporate Silence: dread him not!
        No power hath he of evil in himself;
      But should some urgent fate (untimely lot!)
        Bring thee to meet his shadow (nameless elf,
      That haunteth the lone regions where hath trod
      No foot of man,) commend thyself to God!",Sonnet
5,John Milton,"Sonnet Vii: How Soon Hath Time, The Subt..","How soon hath Time, the subtle thief of youth, 
Stoln on his wing my three and twentieth year! 
My hasting days fly on wtih full career, 
But my late spring no bud or blossom shew'th. 
Perhaps my semblance might deceive the truth, 
That I to manhood am arrived so near, 
And inward ripeness doth much less appear, 
That some more timely-happy spirits endu'th. 
Yet be it less or more, or soon or slow, 
It shall be still in strictest measure even 
To that same lot, however mean or high, 
Toward which Time leads me, and the will of Heaven; 
All is, if I have grace to use it so, 
As ever in my great Taskmaster's eye.",Sonnet
6,John Donne,Holy Sonnet X: Death Be Not Proud,"Death, be not proud, though some have callèd thee
Mighty and dreadful, for thou art not so;
For those whom thou think'st thou dost overthrow
Die not, poor death, nor yet canst thou kill me.
From rest and sleep, which yet thy pictures be,
Much pleasure, then from thee much more, must low
And soonest our best men with thee do go,
Rest of their bones and soul's delivery.
Thou art slave to fate, chance, kings and desperate men
And dost with poison, war and sickness dwell,
And poppy or charms can make us sleep as well
And better than thy stroke; why swell'st thou then ?
One short sleep past, we wake eternally,
And death shall be no more; death, thou shalt die.",Sonnet
7,Edgar Allan Poe,Sonnet- To Science,"Science! true daughter of Old Time thou art!
      Who alterest all things with thy peering eyes.
    Why preyest thou thus upon the poet's heart,
      Vulture, whose wings are dull realities?
    How should he love thee? or how deem thee wise,
      Who wouldst not leave him in his wandering
    To seek for treasure in the jewelled skies,
      Albeit he soared with an undaunted wing?
    Hast thou not dragged Diana from her car?
      And driven the Hamadryad from the wood
    To seek a shelter in some happier star?
      Hast thou not torn the Naiad from her flood,
    The Elfin from the green grass, and from me
    The summer dream beneath the tamarind tree?",Sonnet
8,John Donne,Holy Sonnet I: Thou Hast Made Me,"Thou hast made me, and shall thy work decay?
Repair me now, for now mine end doth haste;
I run to death, and death meets me as fast,
And all my pleasures are like yesterday.
I dare not move my dim eyes any way,
Despair behind, and death before doth cast
Such terror, and my feeble flesh doth waste
By sin in it, which it towards hell doth weigh.
Only thou art above, and when towards thee
By thy leave I can look, I rise again;
But our old subtle foe so tempteth me
That not one hour myself I can sustain.
Thy grace may wing me to prevent his art,
And thou like adamant draw mine iron heart.",Sonnet
9,Sir John Suckling,Sonnet I,"Dost see how unregarded now
        That piece of beauty passes?
There was a time when I did vow
        To that alone;
    But mark the fate of faces;
The red and white works now no more on me
Than if it could not charm, or I not see.

And yet the face continues good,
        And I have still desires,
Am still the selfsame flesh and blood,
        As apt to melt
    And suffer from those fires;
Oh some kind pow'r unriddle where it lies,
Whether my heart be faulty, or her eyes?

She ev'ry day her man does kill,
        And I as often die;
Neither her power then, nor my will
        Can question'd be.
    What is the mystery?
Sure beauty's empires, like to greater states,
Have certain periods set, and hidden fates.",Sonnet
