,Author,Title,Poem,Form
0,Anne Sexton,A Curse Against Elegies,"Oh, love, why do we argue like this? 
I am tired of all your pious talk.
Also, I am tired of all the dead.
They refuse to listen, 
so leave them alone.
Take your foot out of the graveyard, 
they are busy being dead.

Everyone was always to blame: 
the last empty fifth of booze, 
the rusty nails and chicken feathers
that stuck in the mud on the back doorstep, 
the worms that lived under the cat's ear
and the thin-lipped preacher
who refused to call
except once on a flea-ridden day
when he came scuffing in through the yard
looking for a scapegoat.
I hid in the kitchen under the ragbag.

I refuse to remember the dead.
And the dead are bored with the whole thing.
But you - you go ahead, 
go on, go on back down
into the graveyard, 
lie down where you think their faces are; 
talk back to your old bad dreams.",Elegy
1,Rainer Maria Rilke,Duino Elegies: The First Elegy,"Who, if I cried out, would hear me among the angels'
hierarchies? and even if one of them suddenly
pressed me against his heart, I would perish
in the embrace of his stronger existence.
For beauty is nothing but the beginning of terror
which we are barely able to endure and are awed
because it serenely disdains to annihilate us.
Each single angel is terrifying.
And so I force myself, swallow and hold back
the surging call of my dark sobbing.
Oh, to whom can we turn for help?
Not angels, not humans;
and even the knowing animals are aware that we feel
little secure and at home in our interpreted world.
There remains perhaps some tree on a hillside
daily for us to see; yesterday's street remains for us
stayed, moved in with us and showed no signs of leaving.
Oh, and the night, the night, when the wind
full of cosmic space invades our frightened faces.
Whom would it not remain for -that longed-after,
gently disenchanting night, painfully there for the
solitary heart to achieve? Is it easier for lovers?
Don't you know yet ? Fling out of your arms the 
emptiness into the spaces we breath -perhaps the birds
will feel the expanded air in their more ferven flight.

Yes, the springtime were in need of you. Often a star
waited for you to espy it and sense its light.
A wave rolled toward you out of the distant past,
or as you walked below an open window,
a violin gave itself to your hearing.
All this was trust. But could you manage it?
Were you not always distraught by expectation,
as if all this were announcing the arrival
of a beloved?  (Where would you find a place
to hide her, with all your great strange thoughts 
coming and going and often staying for the night.)
When longing overcomes you, sing of women in love;
for their famous passion is far from immortal enough.
Those whom you almost envy, the abandoned and
desolate ones, whom you found so much more loving
than those gratified. Begin ever new again
the praise you cannot attain; remember:
the hero lives on and survives; even his downfall
was for him only a pretext for achieving
his final birth. But nature, exhausted, takes lovers
back into itself, as if such creative forces could never be
achieved a second time.
Have you thought of Gaspara Stampa sufficiently:

that any girl abandoned by her lover may feel
from that far intenser example of loving:
""Ah, might I become like her!"" Should not their oldest
sufferings finally become more fruitful for us?
Is it not time that lovingly we freed ourselves
from the beloved and, quivering, endured:
as the arrow endures the bow-string's tension,
and in this tense release becomes more than itself.
For staying is nowhere.

Voices, voices. Listen my heart, as only saints
have listened: until the gigantic call lifted them
clear off the ground. Yet they went on, impossibly,
kneeling, completely unawares: so intense was
their listening. Not that you could endure
the voice of God -far from it! But listen
to the voice of the wind and the ceaseless message
that forms itself out of silence. They sweep
toward you now from those who died young.
Whenever they entered a church in Rome or Naples,
did not their fate quietly speak to you as recently
as the tablet did in Santa Maria Formosa?
What do they want of me? to quietly remove
the appearance of suffered injustice that,
at times, hinders a little their spirits from
freely proceeding onward.

Of course, it is strange to inhabit the earth no longer,
to no longer use skills on had barely time to acquire;
not to observe roses and other things that promised
so much in terms of a human future, no longer
to be what one was in infinitely anxious hands;
to even discard one's own name as easily as a child
abandons a broken toy.
Strange, not to desire to continue wishing one's wishes.
Strange to notice all that was related, fluttering
so loosely in space. And being dead is hard work
and full of retrieving before one can gradually feel a
trace of eternity. -Yes, but the liviing make
the mistake of drawing too sharp a distinction.
Angels (they say) are often unable to distinguish
between moving among the living or the dead.
The eternal torrent whirls all ages along with it,
through both realms forever, and their voices are lost in
its thunderous roar.

In the end the early departed have no longer
need of us. One is gently weaned from things
of this world as a child outgrows the need
of its mother's breast. But we who have need 
of those great mysteries, we for whom grief is
so often the source of spiritual growth,
could we exist without them?
Is the legend vain that tells of music's beginning
in the midst of the mourning for Linos?
the daring first sounds of song piercing
the barren numbness, and how in that stunned space
an almost godlike youth suddenly left forever,
and the emptiness felt for the first time
those harmonious vibrations which now enrapture
and comfort and help us.


Translated by Albert Ernest Flemming",Elegy
2,Rainer Maria Rilke,Duino Elegies: The Tenth Elegy,"That some day, emerging at last from the terrifying vision
I may burst into jubilant praise to assenting angels!
That of the clear-struck keys of the heart not one may fail
to sound because of a loose, doubtful or broken string!
That my streaming countenance may make me more resplendent
That my humble weeping change into blossoms.
Oh, how will you then, nights of suffering, be remembered
with love. Why did I not kneel more fervently, disconsolate
sisters, more bendingly kneel to receive you, more loosely
surrender myself to your loosened hair? We, squanderers of
gazing beyond them to judge the end of their duration.
They are only our winter's foliage, our sombre evergreen,
one of the seasons of our interior year, -not only season,
but place, settlement, camp, soil and dwelling.

How woeful, strange, are the alleys of the City of Pain,
where in the false silence created from too much noise,
a thing cast out from the mold of emptiness
swaggers that gilded hubbub, the bursting memorial.
Oh, how completely an angel would stamp out their market
of solace, bounded by the church, bought ready for use:
as clean, disappointing and closed as a post office on Sunday.
Farther out, though, there are always the rippling edges
of the fair. Seasaws of freedom! High-divers and jugglers of zeal!
And the shooting-gallery's targets of bedizened happiness:
targets tumbling in tinny contortions whenever some better
marksman happens to hit one. From cheers to chance he goes
staggering on, as booths that can please the most curious tastes
are drumming and bawling. For adults ony there is something
special to see: how money multiplies. Anatomy made amusing!
Money's organs on view! Nothing concealed! Instructive,
and guaranteed to increase fertility!...

                                                            Oh, and then outside,
behind the farthest billboard, pasted with posters for 'Deathless,'
that bitter beer tasting quite sweet to drinkers,
if they chew fresh diversions with it..
Behind the billboard, just in back of it, life is real.
Children play, and lovers hold each other, -aside,
earnestly, in the trampled grass, and dogs respond to nature.
The youth continues onward; perhaps he is in love with
a young Lament....he follows her into the meadows.
She says: the way is long. We live out there....
                                                        Where? And the youth
follows. He is touched by her gentle bearing. The shoulders,
the neck, -perhaps she is of noble ancestry? 
Yet he leaves her, turns around, looks back and waves...
What could come of it? She is a Lament.

Only those who died young, in their first state of
timeless serenity, while they are being weaned,
follow her lovingly. She waits for girls
and befriends them. Gently she shows them
what she is wearing. Pearls of grief
and the fine-spun veils of patience.-
With youths she walks in silence.

But there, where they live, in the valley,
an elderly Lament responds to the youth as he asks:-
We were once, she says, a great race, we Laments.
Our fathers worked the mines up there in the mountains;
sometimes among men you will find a piece of polished
primeval pain, or a petrified slag from an ancient volcano.
Yes, that came from there. Once we were rich.-

And she leads him gently through the vast landscape
of Lamentation, shows him the columns of temples,
the ruins of strongholds from which long ago
the princes of Lament wisely governed the country.
Shows him the tall trees of tears,
the fields of flowering sadness,
(the living know them only as softest foliage);
show him the beasts of mourning, grazing-
and sometimes a startled bird, flying straight through
their field of vision, far away traces the image of its
solitary cry.-
At evening she leads him to the graves of elders
of the race of Lamentation, the sybils and prophets.
With night approaching, they move more softly,
and soon there looms ahead, bathed in moonlight,
the sepulcher, that all-guarding ancient stone,
Twin-brother to that on the Nile, the lofty Sphinx-:
the silent chamber's countenance.
They marvel at the regal head that has, forever silent,
laid the features of manking upon the scales of the stars.
His sight, still blinded by his early death,
cannot grasp it. But the Sphinx's gaze
frightens an owl from the rim of the double-crown.
The bird, with slow down-strokes, brushes
along the cheek, that with the roundest curve, 
and faintly inscribes on the new death-born hearing,
as though on the double page of an opened book,
the indescribable outline.

And higher up, the stars. New ones. Stars
of the land of pain. Slowly she names them:
""There, look: the Rider ,the Staff,and that 
crowded constellation they call the the Garland of Fruit.
Then farther up toward the Pole:
Cradle, Way, the Burning Book, Doll, Window.
And in the Southern sky, pure as lines
on the palm of a blessed hand, the clear sparkling M,
standing for Mothers.....""

Yet the dead  youth must go on alone.
In silence the elder Lament brings him
as far as the gorge where it shimmers in the moonlight:
The Foutainhead of Joy. With reverance she names it,
saying: ""In the world of mankind it is a life-bearing stream.""

They reach the foothills of the mountain,
and there she embraces him, weeping.

Alone, he climbs the mountains of primeval pain.
Not even his footsteps ring from this soundless fate.

But were these timeless dead to awaken an image for us,
see, they might be pointing to th catkins, hanging
from the leafless hazels, or else they might mean
the rain that falls upon the dark earth in early Spring.

And we, who always think
of happiness as rising feel the emotion
that almost overwhelms us
whenever a happy thing falls.


Translated by Albert Ernest Flemming",Elegy
3,Rainer Maria Rilke,Duino Elegies: The Fourth Elegy,"O trees of life, oh, what when winter comes?
We are not of one mind. Are not like birds
in unison migrating. And overtaken,
overdue, we thrust ourselves into the wind
and fall to earth into indifferent ponds.
Blossoming and withering we comprehend as one.
And somewhere lions roam, quite unaware,
in their magnificence, of any weaknesss.

But we, while wholly concentrating on one thing,
already feel the pressure of another.
Hatred is our first response. And lovers,
are they not forever invading one another's
boundaries? -although they promised space,
hunting and homeland. Then, for a sketch
drawn at a moment's impulse, a ground of contrast
is prepared, painfully, so that we may see.
For they are most exact with us. We do not know
the contours of our feelings. We only know 
what shapes them from the outside. 

Who has not sat, afraid, before his own heart's
curtain? It lifted and displayed the scenery
of departure. Easy to understand. The well-known
garden swaying just a little. Then came the dancer.
Not he! Enough! However lightly he pretends to move:
he is just disguised, costumed, an ordinary man
who enters through the kitchen when coming home.
I will not have these half-filled human masks;
better the puppet. It at least is full.
I will endure this well-stuffed doll, the wire,
the face that is nothing but appearance. Here out front
I wait. Even if the lights go down and I am told:
""There's nothing  more to come,"" -even if
the grayish drafts of emptiness come drifting down
from the deserted stage -even if not one
of my now silent forebears sist beside me
any longer, not a woman, not even a boy-
he with the brown and squinting eyes-:
I'll still remain. For one can always watch.

Am I not right?  You, to whom life would taste
so bitter, Father, after you - for my sake -
slipped of mine, that first muddy infusion
of my necessity. You kept on tasting, Father,
as I kept on growing, troubled by the aftertaste
of my so strange a future as you kept searching
my unfocused gaze -you who, so often since
you died, have been afraid for my well-being,
within my deepest hope, relinquishing that calmness,
the realms of equanimity such as the dead possess
for my so small fate -Am I not right?

And you, my parents, am I not right? You who loved me
for that small beginning of my love for you
from which I always shyly turned away, because
the distance in your features grew, changed,
even while I loved it, into cosmic space
where you no longer were...: and when I feel
inclined to wait before the puppet stage, no,
rather to stare at is so intensely that in the end
to counter-balance my searching gaze, an angel
has to come as an actor, and begin manipulating
the lifeless bodies of the puppets to perform.
Angel and puppet! Now at last there is a play!
Then what we seperate can come together by our
very presence. And only then the entire cycle
of our own life-seasons is revealed and set in motion.
Above, beyond us, the angel plays. Look:
must not the dying notice how unreal, how full
of pretense is all that we accomplish here, where
nothing is to be itself. O hours of childhood,
when behind each shape more that the past lay hidden,
when that which lay before us was not the future.

We grew, of course, and sometimes were impatient
in growing up,  half for the sake of pleasing those
with nothing left but their own grown-upness.
Yet, when alone, we entertained ourselves
with what alone endures, we would stand there
in the infinite space that spans the world and toys,
upon a place, which from the first beginnniing
had been prepared to serve a pure event.

Who shows a child just as it stands? Who places him
within his constellation, with the measuring-rod
of distance in his hand. Who makes his death
from gray bread that grows hard, -or leaves
it there inside his rounded mouth, jagged as the core
of a sweet apple?.......The minds of murderers
are easily comprehended. But this: to contain death,
the whole of death, even before life has begun,
to hold it all so gently within oneself,
and not be angry: that is indescribable.


Translated by Albert Ernest Flemming",Elegy
4,Johann Wolfgang von Goethe,Roman Elegies I,"Tell me you stones, O speak, you towering palaces!
Streets, say a word! Spirit of this place, are you dumb?
All things are alive in your sacred walls
eternal Rome, only for me all’s still.
Who will whisper to me, at what window
will I see the sweet thing who will kindle me, and quicken?
Already I guess the ways, walking to her and from her,
ever and always I’ll go, while sweet time slips by.
I’m gazing at church and palace, ruin and column,
like a serious man making sensible use of a journey,
but soon it will happen, and all will be one vast temple,
Love’s temple, receiving its new initiate.
Though you are a whole world, Rome, still, without Love,
the world’s not the world, Rome cannot be Rome.",Elegy
5,John Donne,Elegy:The End Of Funeral Elegies,"MADAM—
That I might make your cabinet my tomb, 
And for my fame, which I love next my soul, 
Next to my soul provide the happiest room, 
Admit to that place this last funeral scroll. 
Others by wills give legacies, but I 
Dying, of you do beg a legacy. 

My fortune and my will this custom break, 
When we are senseless grown to make stones speak, 
Though no stone tell thee what I was, yet thou 
In my grave's inside seest what thou art now, 
Yet thou 'rt not yet so good ; till death us lay 
To ripe and mellow there, we're stubborn clay. 
Parents make us earth, and souls dignify 
Us to be glass ; here to grow gold we lie. 
Whilst in our souls sin bred and pamper'd is, 
Our souls become worm-eaten carcases.",Elegy
6,Albert Samain,Elégies,"c' était un soir de grâce et de mansuétude
où l' amour sur les yeux baise la solitude.
Dans l' ombre, une idéale haleine de printemps
passait, comme un soupir, sous les manteaux flottants.
De jardins en jardins ici la ville bleue
au fond du crépuscule expirait en banlieue…
la pluie intermittente et tiède des beaux soirs
avait légèrement mouillé les pavés noirs.
L' avenue était sombre, odorante, et déserte…
les bras nus, et sa robe à la brise entr' ouverte,
la nuit pâle, en rêvant, respirait des lilas;
et la terre était douce et fondait sous les pas.
Jetant vers le voyage un appel symbolique,
parfois un train lointain sifflait, mélancolique;
et des ombres passaient, lentes et parlant bas,
pendant que les grands chiens pleuraient dans les villas.
Soudain d' un pavillon, qu' entourait le mystère,
j' entendis s' élever une voix solitaire
qui vibrait dans le soir comme un beau violon;
et, me penchant un peu, dans un noble salon
où flottait un passé d' Eloas et d' Elvires,
je vis, à la lueur vacillante des cires,
un visage de marbre avec de lourds bandeaux,
et de grands yeux brillants de larmes aux flambeaux.
Anxieux, j' écoutai: la voix ardente et sombre
s' en allait si blessée, et si triste dans l' ombre,
oh ! Si divinement triste, que l' on eût dit
une larme sur le visage de la nuit!…
jamais rien n' atteindra, pour émouvoir notre âme,
le charme surhumain de la voix d' une femme
qui, sur l' ivoire pâle où flotte son bras nu,
raconte au vent nocturne un amour inconnu…
quel secret disiez-vous, et quel mal sans remède,
larges gouttes d' amour tombant dans la nuit tiède,
sanglots d' un coeur que rien ne peut plus contenir,
et qui cède, chargé de trop de souvenir!
L' âme de l' inconnue expirait sur sa lèvre;
ses yeux, ses grands yeux noirs charbonnés par la fièvre
exagéraient encor sa hautaine pâleur;
et sa voix, qui semblait faite pour la douleur
exhalait toute, avec ses cordes épuisées,
l' infini de douceur qu' ont les choses brisées…
je l' écoutais, mêlée à l' odeur des jardins,
au grand silence ému de roulements lointains,
aux diamants de l' ombre, aux brises moelleuses,
au ciel tendre où coulait le lait des nébuleuses,
et je sentais, saisi d' un trouble grandissant,
par degrés s' en aller vers elle, en frémissant,
tout ce qui flotte en nous par de telles soirées
de tendresse ineffable et de pitiés sacrées.
ô toi qui, ce soir-là, répandais ton ennui
comme une essence d' or sur les pieds de la nuit,
qui te dira jamais qu' à tes côtés, perdue,
mon âme t' adorait pour ta plainte entendue,
et, parmi l' ombre douce et les lilas en fleur,
appuyait, en tremblant, ses lèvres sur ton coeur.",Elegy
7,Henry James Pye,"The War-Elegies Of Tyrtæus, Imitated:  E..","On him shall fame, shall endless glory wait,
Him future ages crown with just applause,
Who boldly daring in the field of fate
Falls a pure victim in his country's cause.
Ah! view yon hapless fugitives who leave
Their seats paternal, and their native sky,
And the full breast in silent sorrow heave
Beneath the galling load of penury.
O'er distant realms who wretched exiles roam,
Perhaps an aged parent's footsteps guide,
Far from their social hearths, and much-loved home,
To meet the taunt of scorn, the frown of pride.
Who wander friendless on a foreign shore,
From foreign hands who ask precarious life,
And prostrate see at Avarice' iron door,
A helpless offspring and a weeping wife.
Thro' hostile regions as they sorrowing go
Tho' pity's bounteous hand afford relief,
In the moist eyelid of the generous foe
Contempt is mingled with the tear of grief.
Far be from us such shame—No! We can die,
Can perish bravely in the glorious strife,
Or guard this hallow'd seat of liberty,
Guard every social charity of life.
Arm youthful warriors! arm! in Britain's right,
Advance, a martial, and a patriot band,
Disdaining pallid fear and shameful flight,
Point the long lance, and lift the shining brand.
Spring ardent to the front, and court the fray,
Nor let the veteran warrior worn with age
Full in the vaward of the bright array
Provoke the war and sink beneath its rage.
The sight unfitting, ill becomes the plain
When bath'd in blood and seam'd with many a wound,
Vent'rous advanced before the youthful train
The venerable fathers press the ground.
But in life's blooming spring the warrior's form
Still charms, tho' fate untimely steal the breath,
Like flowers uprooted by the vernal storm,
In ruin sweet, and beauteous even in death.
While friendship gives the precious balm of praise,
Beauty shall pour her still more precious tear,
A people's voice the hymn of triumph raise,
A people's sorrows sanctify his bier.",Elegy
8,Henry James Pye,"The War-Elegies Of Tyrtæus, Imitated:  E..","Not mine to sing the racer's rapid flight,
Or the athletic wrestler's sinewy force,
Not tho' his limbs are strung with giant might,
His active steps outstrip the whirlwind's course;
Her richest boons tho' lavish fortune shower,
His form tho' faultless, tho' divine his face,
Tho' deck'd in all the pride of regal power,
Tho' eloquence his every accent grace.
Not all the gifts of glory and of fame,
All genius, and all industry can yield,
If the firm bosom feel not valor's flame,
Can form the hero of the martial field.
If while he sees pale slaughter stalk around
And stain with purple gore the dewy plain,
He shrink inglorious from the threaten'd wound,
Nor in the radiant van of war remain.
This is true glory—this the noblest pride,
The brightest trophy blooming youth can wear;
This real merit in a people's eyes,
Before the rest the battle's rage to dare.
Disdaining even the thought of flight or fear,
His life, his soul, by steady valor steel'd,
He calls to glorious death the lagging rear;
Such is the hero of the martial field.
Now rushing on th'embattled foe amain
He turns his scatter'd ranks to shameful flight,
Now throws his eagle eye across the plain,
Guides the loud storm, and rules the waves of fight.
If in the battle's front he press the ground,
His friends, his parents, and his country's pride,
His manly bosom pierced with many a wound,
His snowy vest with purple glory dyed,
The mingled tear of youth and age is shed,
His funeral rites assembled senates grace,
The trophied banner o'er his tomb is spread,
And fame eternal waits his honor'd race.
Ne'er shall his glory fade, his name be lost,
(Tho' dead, his worth, his mem'ry, ne'er shall die,)
Who falls contending with the adverse host
For every public, every social tie.
But should he 'scape the long long sleep of death
What grateful crowds the godlike victor hail,
What strains of conquest sung with rapt'rous breath,
What shouts triumphant float on ev'ry gale.
Him every age and rank, alike revere,
Around his brows perennial laurels bloom,
'Till blest with ease thro' many a rolling year
He sink in silence to the peaceful tomb.
To guard, to grace the veteran, all contend,
Where e'er he goes his presence reverence draws,
To him warm youth, and firmer manhood bend,
And even the hoary senior bows applause.
Such is the fame that crowns th'heroic deed,
Such the reward of those who nobly dare;
Then snatch from glory's hand th'immortal meed,
Nor linger in the manly toil of war.",Elegy
9,Christopher Marlowe,"Elegies, Book One, 5","In summer’s heat and mid-time of the day
To rest my limbs upon a bed I lay,
One window shut, the other open stood,
Which gave such light as twinkles in a wood,
Like twilight glimpse at setting of the sun
Or night being past, and yet not day begun.
Such light to shamefaced maidens must be shown,
Where they may sport, and seem to be unknown.
Then came Corinna in a long loose gown,
Her white neck hid with tresses hanging down:
Resembling fair Semiramis going to bed
Or Laïs of a thousand wooers sped.
I snatched her gown, being thin, the harm was small,
Yet strived she to be covered therewithal.
And striving thus as one that would be cast,
Betrayed herself, and yielded at the last.
Stark naked as she stood before mine eye,
Not one wen in her body could I spy.

What arms and shoulders did I touch and see,
How apt her breasts were to be pressed by me?
How smooth a belly under her waist saw I?
How large a leg, and what a lusty thigh?
To leave the rest, all liked me passing well,
I clinged her naked body, down she fell,
Judge you the rest: being tired she bad me kiss,
Jove send me more such afternoons as this",Elegy
