,Author,Title,Poem
0,Ted Kooser,A Birthday Poem,"Just past dawn, the sun stands
with its heavy red head
in a black stanchion of trees,
waiting for someone to come
with his bucket
for the foamy white light,
and then a long day in the pasture.
I too spend my days grazing,
feasting on every green moment
till darkness calls,
and with the others
I walk away into the night,
swinging the little tin bell
of my name."
1,Edgar Allan Poe,A Dream Within A Dream,"Take this kiss upon the brow!
And, in parting from you now,
Thus much let me avow--
You are not wrong, who deem
That my days have been a dream;
Yet if hope has flown away
In a night, or in a day,
In a vision, or in none,
Is it therefore the less gone?
All that we see or seem
Is but a dream within a dream.
I stand amid the roar
Of a surf-tormented shore,
And I hold within my hand
Grains of the golden sand--
How few! yet how they creep
Through my fingers to the deep,
While I weep--while I weep!
O God! can I not grasp
Them with a tighter clasp?
O God! can I not save
One from the pitiless wave?
Is all that we see or seem
But a dream within a dream?"
2,Ezra Pound,A Girl,"The tree has entered my hands,
The sap has ascended my arms,
The tree has grown in my breast-
Downward,
The branches grow out of me, like arms. 
Tree you are,
Moss you are,
You are violets with wind above them.
A child - so high - you are,
And all this is folly to the world."
3,William Butler Yeats,A Poet To His Beloved,"I BRING you with reverent hands
The books of my numberless dreams,
White woman that passion has worn
As the tide wears the dove-grey sands,
And with heart more old than the horn
That is brimmed from the pale fire of time:
White woman with numberless dreams,
I bring you my passionate rhyme."
4,William Blake,A Poison Tree,"I was angry with my friend;
I told my wrath, my wrath did end.
I was angry with my foe:
I told it not, my wrath did grow.
And I waterd it in fears,
Night & morning with my tears:
And I sunned it with smiles,
And with soft deceitful wiles.
And it grew both day and night,
Till it bore an apple bright.
And my foe beheld it shine,
And he knew that it was mine.
And into my garden stole.
When the night had veiled the pole;
In the morning glad I see,
My foe outstretchd beneath the tree."
5,E. E. Cummings,A pretty a day,"A pretty a day
(and every fades)
is here and away
(but born are maids
to flower an hour
in all,all)
o yes to flower
until so blithe
a doer a wooer
some limber and lithe
some very fine mower
a tall;tall
some jerry so very
(and nellie and fan)
some handsomest harry
(and sally and nan
they tremble and cower
so pale:pale)
for betty was born
to never say nay
but lucy could learn
and lily could pray
and fewer were shyer
than doll. doll"
6,Ogden Nash,A Word to Husbands,"To keep your marriage brimming
With love in the loving cup,
Whenever you’re wrong, admit it;
Whenever you’re right, shut up."
7,William Shakespeare,All the World's a Stage,"All the world's a stage,
And all the men and women merely players;
They have their exits and their entrances,
And one man in his time plays many parts,
His acts being seven ages. At first, the infant,
Mewling and puking in the nurse's arms.
Then the whining schoolboy, with his satchel
And shining morning face, creeping like snail
Unwillingly to school. And then the lover,
Sighing like furnace, with a woeful ballad
Made to his mistress' eyebrow. Then a soldier,
Full of strange oaths and bearded like the pard,
Jealous in honor, sudden and quick in quarrel,
Seeking the bubble reputation
Even in the cannon's mouth. And then the justice,
In fair round belly with good capon lined,
With eyes severe and beard of formal cut,
Full of wise saws and modern instances;
And so he plays his part. The sixth age shifts
Into the lean and slippered pantaloon,
With spectacles on nose and pouch on side;
His youthful hose, well saved, a world too wide
For his shrunk shank, and his big manly voice,
Turning again toward childish treble, pipes
And whistles in his sound. Last scene of all,
That ends this strange eventful history,
Is second childishness and mere oblivion,
Sans teeth, sans eyes, sans taste, sans everything."
8,Allen Ginsberg,America,"America I've given you all and now I'm nothing.
America two dollars and twentyseven cents January
17, 1956.
I can't stand my own mind.
America when will we end the human war?
Go fuck yourself with your atom bomb.
I don't feel good don't bother me.
I won't write my poem till I'm in my right mind.
America when will you be angelic?
When will you take off your clothes?
When will you look at yourself through the grave?
When will you be worthy of your million Trotskyites?
America why are your libraries full of tears?
America when will you send your eggs to India?
I'm sick of your insane demands.
When can I go into the supermarket and buy what I
need with my good looks?
America after all it is you and I who are perfect not
the next world.
Your machinery is too much for me.
You made me want to be a saint.
There must be some other way to settle this argument.
Burroughs is in Tangiers I don't think he'll come back
it's sinister.
Are you being sinister or is this some form of practical
joke?
I'm trying to come to the point.
I refuse to give up my obsession.
America stop pushing I know what I'm doing.
America the plum blossoms are falling.
I haven't read the newspapers for months, everyday
somebody goes on trial for murder.
America I feel sentimental about the Wobblies.
America I used to be a communist when I was a kid
I'm not sorry.
I smoke marijuana every chance I get.
I sit in my house for days on end and stare at the roses
in the closet.
When I go to Chinatown I get drunk and never get laid.
My mind is made up there's going to be trouble.
You should have seen me reading Marx.
My psychoanalyst thinks I'm perfectly right.
I won't say the Lord's Prayer.
I have mystical visions and cosmic vibrations.
America I still haven't told you what you did to Uncle
Max after he came over from Russia.
I'm addressing you.
Are you going to let your emotional life be run by
Time Magazine?
I'm obsessed by Time Magazine.
I read it every week.
Its cover stares at me every time I slink past the corner
candystore.
I read it in the basement of the Berkeley Public Library.
It's always telling me about responsibility. Business-
men are serious. Movie producers are serious.
Everybody's serious but me.
It occurs to me that I am America.
I am talking to myself again. 
Asia is rising against me.
I haven't got a chinaman's chance.
I'd better consider my national resources.
My national resources consist of two joints of
marijuana millions of genitals an unpublishable
private literature that goes 1400 miles an hour
and twenty-five-thousand mental institutions.
I say nothing about my prisons nor the millions of
underprivileged who live in my flowerpots
under the light of five hundred suns.
I have abolished the whorehouses of France, Tangiers
is the next to go.
My ambition is to be President despite the fact that
I'm a Catholic.
America how can I write a holy litany in your silly
mood?
I will continue like Henry Ford my strophes are as
individual as his automobiles more so they're
all different sexes.
America I will sell you strophes $2500 apiece $500
down on your old strophe
America free Tom Mooney
America save the Spanish Loyalists
America Sacco & Vanzetti must not die
America I am the Scottsboro boys.
America when I was seven momma took me to Com-
munist Cell meetings they sold us garbanzos a
handful per ticket a ticket costs a nickel and the
speeches were free everybody was angelic and
sentimental about the workers it was all so sin-
cere you have no idea what a good thing the
party was in 1835 Scott Nearing was a grand
old man a real mensch Mother Bloor made me
cry I once saw Israel Amter plain. Everybody
must have been a spy.
America you don't really want to go to war.
America it's them bad Russians.
Them Russians them Russians and them Chinamen.
And them Russians.
The Russia wants to eat us alive. The Russia's power
mad. She wants to take our cars from out our
garages.
Her wants to grab Chicago. Her needs a Red Readers'
Digest. Her wants our auto plants in Siberia.
Him big bureaucracy running our fillingsta-
tions.
That no good. Ugh. Him make Indians learn read.
Him need big black niggers. Hah. Her make us
all work sixteen hours a day. Help.
America this is quite serious.
America this is the impression I get from looking in
the television set.
America is this correct?
I'd better get right down to the job.
It's true I don't want to join the Army or turn lathes
in precision parts factories, I'm nearsighted and
psychopathic anyway.
America I'm putting my queer shoulder to the wheel."
9,Charles Bukowski,And The Moon And The Stars And The World,"Long walks at night--
that's what good for the soul:
peeking into windows
watching tired housewives
trying to fight off
their beer-maddened husbands."
